Title|Author|ISBN
The Great Gatsby Vol-1|F. Scott Fitzgerald|10000
1984 Vol-2|George Orwell|10001
To Kill a Mockingbird Vol-3|Harper Lee|10002
The Catcher in the Rye Vol-4|J.D. Salinger|10003
Brave New World Vol-5|Aldous Huxley|10004
Fahrenheit 451 Vol-6|Ray Bradbury|10005
Moby Dick Vol-7|Herman Melville|10006
War and Peace Vol-8|Leo Tolstoy|10007
Crime and Punishment Vol-9|Fyodor Dostoevsky|10008
The Odyssey Vol-10|Homer|10009
Pride and Prejudice Vol-11|Jane Austen|10010
The Hobbit Vol-12|J.R.R. Tolkien|10011
Great Expectations Vol-13|Charles Dickens|10012
Les Misérables Vol-14|Victor Hugo|10013
Ulysses Vol-15|James Joyce|10014
Jane Eyre Vol-16|Charlotte Brontë|10015
Wuthering Heights Vol-17|Emily Brontë|10016
Hamlet Vol-18|William Shakespeare|10017
The Divine Comedy Vol-19|Dante Alighieri|10018
Anna Karenina Vol-20|Leo Tolstoy|10019
The Great Gatsby Vol-21|F. Scott Fitzgerald|10020
1984 Vol-22|George Orwell|10021
To Kill a Mockingbird Vol-23|Harper Lee|10022
The Catcher in the Rye Vol-24|J.D. Salinger|10023
Brave New World Vol-25|Aldous Huxley|10024
Fahrenheit 451 Vol-26|Ray Bradbury|10025
Moby Dick Vol-27|Herman Melville|10026
War and Peace Vol-28|Leo Tolstoy|10027
Crime and Punishment Vol-29|Fyodor Dostoevsky|10028
The Odyssey Vol-30|Homer|10029
Pride and Prejudice Vol-31|Jane Austen|10030
The Hobbit Vol-32|J.R.R. Tolkien|10031
Great Expectations Vol-33|Charles Dickens|10032
Les Misérables Vol-34|Victor Hugo|10033
Ulysses Vol-35|James Joyce|10034
Jane Eyre Vol-36|Charlotte Brontë|10035
Wuthering Heights Vol-37|Emily Brontë|10036
Hamlet Vol-38|William Shakespeare|10037
The Divine Comedy Vol-39|Dante Alighieri|10038
Anna Karenina Vol-40|Leo Tolstoy|10039
The Great Gatsby Vol-41|F. Scott Fitzgerald|10040
1984 Vol-42|George Orwell|10041
To Kill a Mockingbird Vol-43|Harper Lee|10042
The Catcher in the Rye Vol-44|J.D. Salinger|10043
Brave New World Vol-45|Aldous Huxley|10044
Fahrenheit 451 Vol-46|Ray Bradbury|10045
Moby Dick Vol-47|Herman Melville|10046
War and Peace Vol-48|Leo Tolstoy|10047
Crime and Punishment Vol-49|Fyodor Dostoevsky|10048
The Odyssey Vol-50|Homer|10049
Pride and Prejudice Vol-51|Jane Austen|10050
The Hobbit Vol-52|J.R.R. Tolkien|10051
Great Expectations Vol-53|Charles Dickens|10052
Les Misérables Vol-54|Victor Hugo|10053
Ulysses Vol-55|James Joyce|10054
Jane Eyre Vol-56|Charlotte Brontë|10055
Wuthering Heights Vol-57|Emily Brontë|10056
Hamlet Vol-58|William Shakespeare|10057
The Divine Comedy Vol-59|Dante Alighieri|10058
Anna Karenina Vol-60|Leo Tolstoy|10059
The Great Gatsby Vol-61|F. Scott Fitzgerald|10060
1984 Vol-62|George Orwell|10061
To Kill a Mockingbird Vol-63|Harper Lee|10062
The Catcher in the Rye Vol-64|J.D. Salinger|10063
Brave New World Vol-65|Aldous Huxley|10064
Fahrenheit 451 Vol-66|Ray Bradbury|10065
Moby Dick Vol-67|Herman Melville|10066
War and Peace Vol-68|Leo Tolstoy|10067
Crime and Punishment Vol-69|Fyodor Dostoevsky|10068
The Odyssey Vol-70|Homer|10069
Pride and Prejudice Vol-71|Jane Austen|10070
The Hobbit Vol-72|J.R.R. Tolkien|10071
Great Expectations Vol-73|Charles Dickens|10072
Les Misérables Vol-74|Victor Hugo|10073
Ulysses Vol-75|James Joyce|10074
Jane Eyre Vol-76|Charlotte Brontë|10075
Wuthering Heights Vol-77|Emily Brontë|10076
Hamlet Vol-78|William Shakespeare|10077
The Divine Comedy Vol-79|Dante Alighieri|10078
Anna Karenina Vol-80|Leo Tolstoy|10079
The Great Gatsby Vol-81|F. Scott Fitzgerald|10080
1984 Vol-82|George Orwell|10081
To Kill a Mockingbird Vol-83|Harper Lee|10082
The Catcher in the Rye Vol-84|J.D. Salinger|10083
Brave New World Vol-85|Aldous Huxley|10084
Fahrenheit 451 Vol-86|Ray Bradbury|10085
Moby Dick Vol-87|Herman Melville|10086
War and Peace Vol-88|Leo Tolstoy|10087
Crime and Punishment Vol-89|Fyodor Dostoevsky|10088
The Odyssey Vol-90|Homer|10089
Pride and Prejudice Vol-91|Jane Austen|10090
The Hobbit Vol-92|J.R.R. Tolkien|10091
Great Expectations Vol-93|Charles Dickens|10092
Les Misérables Vol-94|Victor Hugo|10093
Ulysses Vol-95|James Joyce|10094
Jane Eyre Vol-96|Charlotte Brontë|10095
Wuthering Heights Vol-97|Emily Brontë|10096
Hamlet Vol-98|William Shakespeare|10097
The Divine Comedy Vol-99|Dante Alighieri|10098
Anna Karenina Vol-100|Leo Tolstoy|10099
The Great Gatsby Vol-101|F. Scott Fitzgerald|10100
1984 Vol-102|George Orwell|10101
To Kill a Mockingbird Vol-103|Harper Lee|10102
The Catcher in the Rye Vol-104|J.D. Salinger|10103
Brave New World Vol-105|Aldous Huxley|10104
Fahrenheit 451 Vol-106|Ray Bradbury|10105
Moby Dick Vol-107|Herman Melville|10106
War and Peace Vol-108|Leo Tolstoy|10107
Crime and Punishment Vol-109|Fyodor Dostoevsky|10108
The Odyssey Vol-110|Homer|10109
Pride and Prejudice Vol-111|Jane Austen|10110
The Hobbit Vol-112|J.R.R. Tolkien|10111
Great Expectations Vol-113|Charles Dickens|10112
Les Misérables Vol-114|Victor Hugo|10113
Ulysses Vol-115|James Joyce|10114
Jane Eyre Vol-116|Charlotte Brontë|10115
Wuthering Heights Vol-117|Emily Brontë|10116
Hamlet Vol-118|William Shakespeare|10117
The Divine Comedy Vol-119|Dante Alighieri|10118
Anna Karenina Vol-120|Leo Tolstoy|10119
The Great Gatsby Vol-121|F. Scott Fitzgerald|10120
1984 Vol-122|George Orwell|10121
To Kill a Mockingbird Vol-123|Harper Lee|10122
The Catcher in the Rye Vol-124|J.D. Salinger|10123
Brave New World Vol-125|Aldous Huxley|10124
Fahrenheit 451 Vol-126|Ray Bradbury|10125
Moby Dick Vol-127|Herman Melville|10126
War and Peace Vol-128|Leo Tolstoy|10127
Crime and Punishment Vol-129|Fyodor Dostoevsky|10128
The Odyssey Vol-130|Homer|10129
Pride and Prejudice Vol-131|Jane Austen|10130
The Hobbit Vol-132|J.R.R. Tolkien|10131
Great Expectations Vol-133|Charles Dickens|10132
Les Misérables Vol-134|Victor Hugo|10133
Ulysses Vol-135|James Joyce|10134
Jane Eyre Vol-136|Charlotte Brontë|10135
Wuthering Heights Vol-137|Emily Brontë|10136
Hamlet Vol-138|William Shakespeare|10137
The Divine Comedy Vol-139|Dante Alighieri|10138
Anna Karenina Vol-140|Leo Tolstoy|10139
The Great Gatsby Vol-141|F. Scott Fitzgerald|10140
1984 Vol-142|George Orwell|10141
To Kill a Mockingbird Vol-143|Harper Lee|10142
The Catcher in the Rye Vol-144|J.D. Salinger|10143
